date,election,soraya_martinez_ferrada,luc_rabouin,craig_sauve,gilbert_thibodeau,jf_kacou,indecis
2025-09-10,0.3024805420230735,0.07362877098411505,0.04915264903549693,0.024702632235702595,0.03307464630853277,0.009080866231696632,0.11284097722752956
2025-09-11,0.30389818030200605,0.07308382991207471,0.04594158120739918,0.02652177872196725,0.03370371312984146,0.009635592275053097,0.11501168505567032
2025-09-12,0.30692184051471305,0.0732088920349033,0.051108934140324455,0.028081187791772294,0.032961904635191545,0.009371880990668217,0.1121890409218532
2025-09-13,0.31052946141767523,0.07789754714750677,0.0482426835177745,0.03551147302906636,0.02836967762427556,0.009009772170034751,0.11149830792901726
2025-09-14,0.36463333980630735,0.09397200096894119,0.059663841631856576,0.039671719369001227,0.028571462056506475,0.012217513249419143,0.13053680253058275
2025-09-15,0.41917758110662556,0.10967194433617115,0.06223034986503556,0.03626234113695913,0.03608535864896359,0.021315766979376274,0.15361182014011987
2025-09-16,0.47412216276529967,0.11959931682072608,0.0795194558021536,0.03521152983930718,0.04557095426585073,0.024848112094828657,0.16937279394243346
2025-09-17,0.47943648814858036,0.11728950527298662,0.0830542099261946,0.046984149438954924,0.051599319323689,0.021842584306293534,0.15866671988046166
2025-09-18,0.4850961396660017,0.12289926549776117,0.08619893221088018,0.049565697838415274,0.0495612451326825,0.022343279321941207,0.15452771966432133
2025-09-19,0.4910810239683928,0.12456526545443979,0.08204703979368123,0.055246720321797727,0.050534345389650584,0.023213547734963556,0.1554741052738599
2025-09-20,0.49737421953617905,0.1243020108015753,0.08630541211561883,0.041848052883100596,0.05272070548230066,0.025688452186386573,0.16650958606719712
2025-09-21,0.45396121578598014,0.10518409341144687,0.08605199623765696,0.045186512836843516,0.050614148008544,0.0183654425885744,0.1485590227029144
2025-09-22,0.410829386838801,0.10326050370265784,0.07798741577842706,0.039110900042883326,0.04723935094921765,0.019240727631811172,0.12399048873380393
2025-09-23,0.3679676139828681,0.10469372915170301,0.06643690434795496,0.03152554977535572,0.041006801100384585,0.017293043482742177,0.10701158612472765
2025-09-24,0.37536600661698344,0.10902583423733102,0.06852037209953352,0.03268932982605252,0.0409390391620777,0.016479717031696553,0.10771171426029208
2025-09-25,0.43301569081425345,0.11811158103898935,0.08413854239325777,0.04378612441364291,0.04894750198034317,0.017057952426500777,0.12097398856151946
2025-09-26,0.4909086457339845,0.12908282137944385,0.09303911190888195,0.06464421462888688,0.057597286976974825,0.018342274086351692,0.1282029367534453
2025-09-27,0.5490375747648198,0.13969832890360523,0.10994481226649451,0.07232768280205096,0.06327348437986477,0.021056440123744195,0.14273682628906018
2025-09-28,0.5573958024360353,0.14936356423224317,0.10656375444254401,0.06908910787591666,0.058248768871973874,0.018311293974209317,0.15581931303914826
2025-09-29,0.5659771908142492,0.14886057228718938,0.11108280845262848,0.07764290436966984,0.05331917681826571,0.02479217563218608,0.15027955325430972
2025-09-30,0.5247760708827646,0.1500036443624658,0.09287578596399072,0.07803538108567597,0.04072982604999387,0.019654003284031503,0.14347743013660677
2025-10-01,0.48378718561282463,0.14483884056081062,0.08199345108465908,0.08166500550143997,0.03646826642669585,0.018796410221147152,0.12002521181807198
2025-10-02,0.49300564227986987,0.1566807875154542,0.08142832004122463,0.0748235265340946,0.03913851583504953,0.01646863284292835,0.12446585951111855
2025-10-03,0.5524268721769657,0.1781169036827542,0.09220715322485445,0.07840108078514156,0.051935323026659146,0.026633143440464926,0.1251332680170915
2025-10-04,0.6120465963104444,0.19063007531885517,0.11483687893874596,0.08505689759529207,0.056599470463479615,0.026699463832151684,0.13822381016191995
2025-10-05,0.6218607959805704,0.1984317217761116,0.13089882969580338,0.07019297700113841,0.050930665124549766,0.029023153570343553,0.1423834488126237
2025-10-06,0.6318656873866696,0.20590198599721704,0.13832856495891882,0.060611312916036685,0.05851835604097449,0.026896628697700646,0.1416088387758219
2025-10-07,0.6420576995746881,0.21242954222431484,0.14422251011352485,0.05906794155677244,0.058204179015140634,0.02494977455143647,0.14318375211349885
2025-10-08,0.652433455181441,0.219654803874868,0.14102545750822984,0.07076613225020716,0.0686500656892335,0.021377331717635974,0.13095966414126664
2025-10-09,0.612989753535021,0.20177928377254414,0.12893282116206056,0.0741728736016873,0.06336908921057673,0.0189104091043872,0.12582527668376506
2025-10-10,0.5737235557528566,0.19823339525343672,0.11511164732035395,0.06594770872899322,0.06379673771027851,0.017225932014420423,0.11340813472537381
2025-10-11,0.5346319715434663,0.17861216636219648,0.10422216237104201,0.06676859484400784,0.06119276447344549,0.01662037646405534,0.10721590702871911
2025-10-12,0.5457122474691871,0.18649543658237203,0.11710743000986117,0.06192158327150404,0.05537275113699771,0.022091744128716714,0.10272330233973549
2025-10-13,0.5569617564681623,0.17664761652078853,0.12028131316077698,0.0682893528355886,0.05682836067761746,0.02787813037137505,0.10703698290201562
2025-10-14,0.6517113218002523,0.20489554873852664,0.15084989090808254,0.06641559179043627,0.06783084057059455,0.033183140198284035,0.12853630959432816
2025-10-15,0.6632918752750392,0.21704857750116496,0.14236887430850748,0.0672500999234834,0.0763595822061408,0.029209583466849,0.13105515786889352
2025-10-16,0.6750344496420155,0.2297008714769579,0.14416907864682832,0.05566850023129256,0.08278263832434292,0.02689988925345919,0.13581347170913471
2025-10-17,0.6036035050410793,0.22645150273128523,0.12145066127892674,0.040669641031207536,0.07176345090993246,0.023252719755307818,0.12001552933441954
2025-10-18,0.6156635894263622,0.23413508476603978,0.12240740783098325,0.042779645177491804,0.07403300693880642,0.022536990566278232,0.11977145414676273
2025-10-19,0.7112126662221502,0.28222542592754357,0.14450009192662663,0.053570280643282904,0.08146516988303282,0.0273663854456078,0.12208531239605644
2025-10-20,0.7235821091466751,0.2898968133845221,0.15506886829744138,0.053701076772077305,0.09084921468717848,0.025183255113913564,0.1088828808915423
2025-10-21,0.7361033641482622,0.28378791364539596,0.15914515326497963,0.058184598917627985,0.09888848939089405,0.028356069457989012,0.10774113947137551
2025-10-22,0.6654412784056517,0.2481738674296475,0.1390184874702398,0.060769646494161673,0.10322005448316258,0.019704507151946715,0.09455471537649345
2025-10-23,0.6782607630172042,0.24004403512225583,0.12670260066919414,0.08092249112488718,0.10966559124173174,0.01557385918585403,0.10535218567328124
2025-10-24,0.7412267893423189,0.2704660351888865,0.1357619959229365,0.08112300670936001,0.12164671256801997,0.01508411832536119,0.11714492062775474
2025-10-25,0.8043377189629197,0.3067989557822044,0.1437721659827556,0.086439528439376,0.129663047116944,0.022885358797517255,0.11477866284412247
