candidat,vote_prior,forecast_baseline,forecast_multiplicative,forecast_bayesian,forecast_delta
craig_sauve,0.06,0.06,0.05731544400478718,0.06237483759148905,0.05771735510086473
gilbert_thibodeau,0.11,0.11,0.10848000701105688,0.11601218749728605,0.11927331361954951
indecis,0.29,0.29,0.27861934830720175,0.27387328806913985,0.27806767316884473
jf_kacou,0.03,0.03,0.028294472100111226,0.030373000094441018,0.0310946482089394
luc_rabouin,0.18,0.18,0.1766323263720818,0.17954870476793214,0.17288348316624547
soraya_martinez_ferrada,0.33,0.33,0.3506584022047612,0.3378179819797119,0.34096352673555613
